Identificador Unico,Empresa Divulgadora,Custo Propaganda,Data Propaganda
EB5315AE-E883-8DEA-7938-BEE63045D630,In Corp.,"8419,45",2022-07-02 13:22:03
AD1641E7-4378-BC13-7F15-4928EE192AA6,Velit Pellentesque Ultricies LLC,"5935,33",2022-01-06 09:40:34
821FA5D4-BE2A-83D6-B271-772E3E167E00,Nunc Sed Pede Consulting,"9003,26",2019-05-19 03:37:10
1C4EC5C9-EB00-1E33-41D3-3BC41E353D47,Neque Tellus LLC,"4419,05",2020-12-11 01:18:35
A2C8C945-8A84-6166-4337-75BA8E017CC8,Pellentesque Ultricies PC,"7273,32",2019-12-15 04:09:37
F421DA77-8C92-C236-991C-AFE133DB2215,Fermentum Company,"3860,94",2022-05-06 08:10:12
6E7A6C71-F6A5-2700-5A4F-61CA39BA2E6D,Convallis Convallis Incorporated,"6270,20",2020-05-19 18:02:05
B6BC4536-4809-898D-777B-26D426D8737C,Nullam Lobortis Inc.,"2388,22",2021-05-14 06:58:07
B337A9E3-EE1A-EF4B-A4B6-69C36FFEA288,Posuere LLC,"3169,98",2019-11-06 15:27:16
534D5A25-6FB6-9527-E782-7B86A996AA01,Donec Incorporated,"9575,17",2021-11-03 14:36:18
699087FD-080E-C5A1-833A-DAB8256E2DA8,Eu Euismod Ac Limited,"9841,84",2022-11-11 09:17:00
C2D7EE33-6C04-2698-F4E2-30DD2ADBF347,Auctor Ullamcorper Corporation,"6502,60",2019-08-18 12:41:31
DA4FB0B7-C5BE-E477-1F19-A2CE444C43AF,Ultrices LLP,"8887,12",2022-04-15 15:44:11
8DF87BA6-B006-BBE5-762F-2184BCF96136,Elementum Consulting,"2846,59",2021-05-10 12:04:03
E3970D3B-C67B-F999-A8E5-B9096B2231AD,Interdum Curabitur LLP,"3496,90",2020-08-06 02:25:36
C7AB9523-9615-208A-D505-8BDA87A6C85F,Ipsum Ltd,"322,65",2022-10-30 21:06:56
3E57C361-C5A9-E9E9-4D5A-7978D252C175,Elementum Lorem Corp.,"9243,30",2020-03-08 13:22:01
AAE42B80-563A-B8FC-FA36-6C368F33E31E,Nulla Vulputate Institute,"9390,90",2022-04-29 21:54:08
9248342A-7263-2140-7C97-6328A1A8A4A5,In Institute,"8787,27",2021-03-01 04:08:25
26BB14EE-BBC7-BD05-A2D4-67E8E9577098,Nec Tempus Limited,"9750,49",2020-08-13 05:37:23
